original_class,brand,new_group
1시리즈_F20_2013_2015,bmw,BMW
1시리즈_F20_2016_2019,bmw,BMW
1시리즈_F40_2020_2024,bmw,BMW
2시리즈_그란쿠페_F44_2020_2024,bmw,BMW
2시리즈_액티브_투어러_F45_2019_2021,bmw,BMW
2시리즈_액티브_투어러_U06_2022_2024,bmw,BMW
3시리즈_E90_2005_2012,bmw,BMW
3시리즈_F30_2013_2018,bmw,BMW
3시리즈_G20_2019_2022,bmw,BMW
3시리즈_G20_2023_2025,bmw,BMW
3시리즈_GT_F34_2014_2021,bmw,BMW
4시리즈_F32_2014_2020,bmw,BMW
4시리즈_G22_2021_2023,bmw,BMW
4시리즈_G22_2024_2025,bmw,BMW
5시리즈_F10_2010_2016,bmw,BMW
5시리즈_G30_2017_2023,bmw,BMW
5시리즈_G60_2024_2025,bmw,BMW
5시리즈_GT_F07_2010_2017,bmw,BMW
6시리즈_F12_2011_2018,bmw,BMW
6시리즈_GT_G32_2018_2020,bmw,BMW
6시리즈_GT_G32_2021_2024,bmw,BMW
7시리즈_F01_2009_2015,bmw,BMW
7시리즈_G11_2016_2018,bmw,BMW
7시리즈_G11_2019_2022,bmw,BMW
7시리즈_G70_2023_2025,bmw,BMW
8시리즈_G15_2020_2024,bmw,BMW
i4_2022_2024,bmw,BMW
iX_2022_2024,bmw,BMW
M2_F87_2016_2021,bmw,BMW
M4_F82_2015_2020,bmw,BMW
M5_F90_2018_2023,bmw,BMW
X1_F48_2016_2019,bmw,BMW
X1_F48_2020_2022,bmw,BMW
X1_U11_2023_2024,bmw,BMW
X2_F39_2018_2023,bmw,BMW
X3_G01_2018_2021,bmw,BMW
X3_G01_2022_2024,bmw,BMW
X4_F26_2015_2018,bmw,BMW
X4_G02_2019_2021,bmw,BMW
X4_G02_2022_2025,bmw,BMW
X5_F15_2014_2018,bmw,BMW
X5_G05_2019_2023,bmw,BMW
X5_G05_2024_2025,bmw,BMW
X6_F16_2015_2019,bmw,BMW
X6_G06_2020_2023,bmw,BMW
X6_G06_2024_2025,bmw,BMW
X7_G07_2019_2022,bmw,BMW
X7_G07_2023_2025,bmw,BMW
Z4_G29_2019_2025,bmw,BMW
718_박스터_2017_2024,포르쉐,기타 독일차
718_카이맨_2017_2024,포르쉐,기타 독일차
911_992_2020_2024,포르쉐,기타 독일차
911_2003_2019,포르쉐,기타 독일차
마칸_2014_2018,포르쉐,기타 독일차
마칸_2019_2021,포르쉐,기타 독일차
마칸_2022_2024,포르쉐,기타 독일차
박스터_718_2017_2024,포르쉐,기타 독일차
카이엔_PO536_2019_2023,포르쉐,기타 독일차
타이칸_2021_2025,포르쉐,기타 독일차
파나메라_971_2017_2023,포르쉐,기타 독일차
파나메라_2010_2016,포르쉐,기타 독일차
뉴_카이엔_2011_2018,포르쉐,기타 독일차
2008_2015_2017,푸조,기타
3008_2세대_2018_2023,푸조,기타
5008_2세대_2018_2019,푸조,기타
5008_2세대_2021_2024,푸조,기타
A_클래스_W176_2015_2018,벤츠,벤츠
A_클래스_W177_2020_2025,벤츠,벤츠
AMG_GT_2016_2024,벤츠,벤츠
B_클래스_W246_2013_2018,벤츠,벤츠
C_클래스_W204_2008_2015,벤츠,벤츠
C_클래스_W205_2015_2021,벤츠,벤츠
C_클래스_W206_2022_2024,벤츠,벤츠
CLA_클래스_C117_2014_2019,벤츠,벤츠
CLA_클래스_C118_2020_2025,벤츠,벤츠
CLE_클래스_C236_2024_2025,벤츠,벤츠
CLS_클래스_C257_2019_2023,벤츠,벤츠
CLS_클래스_W218_2012_2017,벤츠,벤츠
E_클래스_W212_2010_2016,벤츠,벤츠
E_클래스_W213_2017_2020,벤츠,벤츠
E_클래스_W213_2021_2023,벤츠,벤츠
E_클래스_W214_2024_2025,벤츠,벤츠
EQA_H243_2021_2024,벤츠,벤츠
EQE_V295_2022_2024,벤츠,벤츠
EQS_V297_2022_2023,벤츠,벤츠
G_클래스_W463_2009_2017,벤츠,벤츠
G_클래스_W463b_2019_2025,벤츠,벤츠
GLA_클래스_H247_2020_2025,벤츠,벤츠
GLA_클래스_X156_2015_2019,벤츠,벤츠
GLB_클래스_X247_2020_2023,벤츠,벤츠
GLC_클래스_X253_2017_2019,벤츠,벤츠
GLC_클래스_X253_2020_2022,벤츠,벤츠
GLC_클래스_X253_2023,벤츠,벤츠
GLC_클래스_X254_2023_2025,벤츠,벤츠
GLE_클래스_W166_2016_2018,벤츠,벤츠
GLE_클래스_W167_2019_2024,벤츠,벤츠
GLS_클래스_X166_2017_2019,벤츠,벤츠
GLS_클래스_X167_2020_2024,벤츠,벤츠
S_클래스_W221_2006_2013,벤츠,벤츠
S_클래스_W222_2014_2020,벤츠,벤츠
S_클래스_W223_2021_2025,벤츠,벤츠
A4_B9_2016_2019,아우디,기타 독일차
A4_B9_2020_2024,아우디,기타 독일차
A5_F5_2019_2024,아우디,기타 독일차
A6_C8_2019_2025,아우디,기타 독일차
A7_4K_2020_2024,아우디,기타 독일차
A7_2012_2016,아우디,기타 독일차
A8_D5_2018_2023,아우디,기타 독일차
e_트론_2020_2023,아우디,기타 독일차
Q3_F3_2020_2024,아우디,기타 독일차
Q5_FY_2020,아우디,기타 독일차
Q5_FY_2021_2024,아우디,기타 독일차
Q7_4M_2016_2019,아우디,기타 독일차
Q7_4M_2020_2023,아우디,기타 독일차
Q8_4M_2020_2025,아우디,기타 독일차
뉴_A6_2012_2014,아우디,기타 독일차
뉴_A6_2015_2018,아우디,기타 독일차
CT6_2016_2018,캐딜락,미국
에스컬레이드_5세대_2021_2024,캐딜락,미국
에스컬레이드_2015_2020,캐딜락,미국
E_PACE_2018_2020,재규어,유럽 프리미엄
F_PACE_2017_2019,재규어,유럽 프리미엄
New_XF_2012_2015,재규어,유럽 프리미엄
XE_2016_2019,재규어,유럽 프리미엄
XF_X260_2016_2020,재규어,유럽 프리미엄
XJ_8세대_2010_2019,재규어,유럽 프리미엄
All_New_XJ_2016_2019,재규어,유럽 프리미엄
i30_PD_2017_2018,현대,현대
LF_쏘나타_2015_2017,현대,현대
YF쏘나타_2009_2012,현대,현대
YF쏘나타_하이브리드_2011_2015,현대,현대
그랜드_스타렉스_2016_2018,현대,현대
그랜저_GN7_2023_2025,현대,현대
그랜저_HG_2011_2014,현대,현대
그랜저_HG_2015_2017,현대,현대
그랜저_IG_2017_2019,현대,현대
그랜저TG_2007_2008,현대,현대
넥쏘_2018_2024,현대,현대
더_뉴_그랜드_스타렉스_2018_2021,현대,현대
더_뉴_그랜저_IG_2020_2023,현대,현대
더_뉴_맥스크루즈_2016_2018,현대,현대
더_뉴_싼타페_2021_2023,현대,현대
더_뉴_아반떼_2014_2016,현대,현대
더_뉴_아반떼_AD_2019_2020,현대,현대
더_뉴_아반떼_CN7_2023_2025,현대,현대
더_뉴_아이오닉_하이브리드_2020,현대,현대
더_뉴_코나_2021_2023,현대,현대
더_뉴_투싼_NX4_2023_2025,현대,현대
더_뉴_팰리세이드_2023_2024,현대,현대
더_올뉴G80_2021_2024,현대,현대
더_올뉴투싼_하이브리드_2021_2023,현대,현대
디_올뉴그랜저_2023_2025,현대,현대
디_올뉴싼타페_2024_2025,현대,현대
디_올뉴코나_2023_2025,현대,현대
베뉴_2020_2024,현대,현대
벨로스터_JS_2018_2020,현대,현대
스타리아_2022_2025,현대,현대
싼타페_MX5_2024_2025,현대,현대
싼타페_TM_2019_2020,현대,현대
싼타페_더_프라임_2016_2018,현대,현대
쏘나타_DN8_2020_2023,현대,현대
쏘나타_뉴_라이즈_2018_2019,현대,현대
쏘나타_디_엣지_DN8_2024_2025,현대,현대
쏘렌토_4세대_2021_2023,현대,현대
아반떼_AD_2016_2018,현대,현대
아반떼_CN7_2021_2023,현대,현대
아반떼_MD_2011_2014,현대,현대
아반떼_N_2022_2023,현대,현대
아반떼_하이브리드_CN7_2021_2023,현대,현대
