,Black,Blue,Gray,Green,Orange,Pink,Purple,Red,Silver,White,Yellow
프리우스_4세대_2019_2022,71,1,9,0,0,0,1,2,6,0,0
3시리즈_E90_2005_2012,56,3,13,0,0,0,0,0,16,0,0
3시리즈_F30_2013_2018,55,0,7,0,1,0,0,0,23,2,0
3시리즈_GT_F34_2014_2021,62,0,8,0,0,0,1,0,14,3,0
4시리즈_F32_2014_2020,62,0,1,0,0,0,3,3,10,9,0
7시리즈_G11_2019_2022,72,0,9,0,0,0,0,0,6,1,0
A5_F5_2019_2024,43,0,4,0,0,0,1,0,23,17,0
All_New_XJ_2016_2019,40,0,1,0,0,0,0,0,35,12,0
B_클래스_W246_2013_2018,57,0,16,0,0,0,1,0,14,0,0
CLA_클래스_C117_2014_2019,64,2,9,0,0,0,0,1,9,3,0
CLA_클래스_C118_2020_2025,63,1,2,0,0,0,0,0,14,6,2
CLS_클래스_C257_2019_2023,56,0,14,0,0,0,1,0,13,4,0
EV6_2022_2024,74,0,1,0,0,0,1,0,6,6,0
EV9_2024_2025,62,0,4,0,0,0,2,0,15,5,0
G80_RG3_2025,75,0,4,0,0,1,0,0,8,0,0
GLC_클래스_X253_2017_2019,66,0,5,0,0,0,0,1,11,5,0
GLE_클래스_W166_2016_2018,58,0,6,0,0,0,2,0,14,8,0
GLS_클래스_X166_2017_2019,69,0,8,0,0,0,0,0,9,2,0
K7_프리미어_하이브리드_2020_2021,79,0,3,0,0,0,0,0,6,0,0
M2_F87_2016_2021,44,10,5,0,0,0,16,0,13,0,0
Q5_FY_2020,60,2,9,0,0,0,0,0,16,1,0
Q7_4M_2016_2019,59,0,9,0,0,0,2,0,16,2,0
RAV4_5세대_2019_2024,75,0,7,0,0,0,0,0,6,0,0
SM7_노바_2015_2019,67,0,8,0,0,0,2,0,8,3,0
S_클래스_W222_2014_2020,68,0,12,0,0,0,3,0,3,2,0
X1_F48_2016_2019,68,0,7,0,0,0,1,0,11,1,0
X5_F15_2014_2018,58,0,13,0,0,0,2,0,14,1,0
X6_F16_2015_2019,73,0,6,0,0,0,0,0,7,2,0
XC60_2세대_2018_2021,49,0,6,0,0,0,0,0,29,4,0
XC90_2세대_2017_2019,58,0,14,0,0,0,0,0,12,4,0
XE_2016_2019,56,0,0,0,0,0,0,3,15,14,0
YF쏘나타_하이브리드_2011_2015,45,1,25,0,3,0,2,0,10,2,0
뉴_SM5_플래티넘_2013_2014,48,1,20,0,2,0,4,0,12,1,0
더_K9_2019_2021,76,0,3,0,0,0,0,0,5,4,0
더_뉴_SM6_2021_2024,69,0,8,0,0,0,0,0,6,5,0
더_뉴_니로_2020_2022,68,0,8,0,0,0,0,0,11,1,0
더_뉴_레이_2018_2022,30,3,22,0,0,0,1,0,27,5,0
더_뉴_렉스턴_스포츠_2021_2025,75,0,3,0,0,1,0,1,8,0,0
더_뉴_쏘렌토_2018_2020,71,0,5,0,0,0,0,0,8,4,0
더_뉴_아반떼_CN7_2023_2025,53,0,8,0,0,0,5,0,8,14,0
더_뉴_파사트_2012_2019,44,0,16,0,0,0,3,0,23,2,0
디스커버리_스포츠_2015_2019,69,0,0,0,1,0,0,0,14,3,1
디펜더_L663_2020_2025,63,0,8,0,0,0,4,0,6,7,0
라브4_4세대_2013_2018,71,0,11,0,0,0,2,0,4,0,0
레이_2012_2017,35,3,15,0,0,0,3,0,31,1,0
레인지로버_4세대_2014_2017,72,1,5,0,0,0,2,0,8,0,0
레인지로버_벨라_2018_2019,63,0,1,0,0,0,1,0,19,4,0
레인지로버_스포츠_2세대_2013_2017,59,1,6,0,0,0,1,0,16,5,0
레인지로버_이보크_2세대_2020_2022,50,0,10,0,0,0,0,0,19,9,0
르반떼_2017_2022,69,1,5,0,0,0,0,0,13,0,0
머스탱_2015_2023,70,2,2,0,1,0,1,5,3,2,2
모닝_어반_JA_2021_2023,44,0,9,0,1,0,1,0,26,7,0
모델_3_2019_2022,44,0,22,0,0,0,0,1,15,6,0
모델_3_2024_2025,38,0,11,0,0,0,0,4,27,8,0
모델_Y_2021_2025,43,0,5,0,0,0,0,3,18,19,0
뷰티풀_코란도_2019_2024,68,0,4,0,0,0,0,1,12,3,0
스팅어_2018_2020,66,0,1,0,0,0,1,8,9,3,0
