클래스명,이미지경로,RGB,색상범주,비율(%),총픽셀수
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0000.jpg,"(np.int64(124), np.int64(128), np.int64(138))",Gray,28.5,12096
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0001.jpg,"(np.int64(38), np.int64(36), np.int64(42))",Black,63.3,12132
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0002.jpg,"(np.int64(37), np.int64(33), np.int64(34))",Black,54.4,2759
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0003.jpg,"(np.int64(41), np.int64(29), np.int64(31))",Black,60.8,1860
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0004.jpg,"(np.int64(37), np.int64(34), np.int64(35))",Black,59.2,3314
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0005.jpg,"(np.int64(56), np.int64(28), np.int64(31))",Black,49.6,2323
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0006.jpg,"(np.int64(35), np.int64(33), np.int64(34))",Black,50.1,2098
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0007.jpg,"(np.int64(41), np.int64(28), np.int64(30))",Black,46.2,1928
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0008.jpg,"(np.int64(51), np.int64(25), np.int64(27))",Black,46.6,1911
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0009.jpg,"(np.int64(202), np.int64(203), np.int64(218))",White,45.5,5872
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0010.jpg,"(np.int64(43), np.int64(40), np.int64(44))",Black,40.0,3190
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0011.jpg,"(np.int64(203), np.int64(209), np.int64(212))",Silver,43.1,6185
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0012.jpg,"(np.int64(169), np.int64(172), np.int64(183))",Silver,33.9,5805
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0013.jpg,"(np.int64(164), np.int64(164), np.int64(175))",Silver,32.7,5723
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0014.jpg,"(np.int64(171), np.int64(172), np.int64(184))",Silver,37.1,6008
