클래스명,총_이미지수,처리율(%),주요_색상,Gray_비율(%),Black_비율(%),White_비율(%),Silver_비율(%),Blue_비율(%),Red_비율(%),Purple_비율(%),Yellow_비율(%),Orange_비율(%),Green_비율(%),Pink_비율(%)
1시리즈_F20_2013_2015,86,100.0,Black,4.7,59.3,2.3,31.4,1.2,1.2,,,,,
1시리즈_F20_2016_2019,83,100.0,Black,12.0,66.3,2.4,19.3,,,,,,,
1시리즈_F40_2020_2024,79,100.0,Black,6.3,81.0,2.5,2.5,,,3.8,1.3,1.3,1.3,
2008_2015_2017,86,100.0,Black,3.5,59.3,1.2,33.7,1.2,1.2,,,,,
2시리즈_그란쿠페_F44_2020_2024,87,100.0,Black,10.3,77.0,,8.0,1.1,,3.4,,,,
2시리즈_액티브_투어러_F45_2019_2021,64,100.0,Black,7.8,68.8,9.4,14.1,,,,,,,
2시리즈_액티브_투어러_U06_2022_2024,80,100.0,Black,22.5,51.2,5.0,17.5,,,3.8,,,,
3008_2세대_2018_2023,87,100.0,Black,,87.4,,12.6,,,,,,,
3시리즈_E90_2005_2012,88,100.0,Black,14.8,63.6,,18.2,3.4,,,,,,
3시리즈_F30_2013_2018,88,100.0,Black,8.0,62.5,2.3,26.1,,,,,1.1,,
3시리즈_G20_2019_2022,87,100.0,Black,8.0,66.7,9.2,14.9,,,1.1,,,,
3시리즈_G20_2023_2025,87,100.0,Black,10.3,69.0,2.3,11.5,,,4.6,,2.3,,
3시리즈_GT_F34_2014_2021,88,100.0,Black,9.1,70.5,3.4,15.9,,,1.1,,,,
4시리즈_F32_2014_2020,88,100.0,Black,1.1,70.5,10.2,11.4,,3.4,3.4,,,,
4시리즈_G22_2021_2023,84,100.0,Black,9.5,82.1,,6.0,,,1.2,,,,1.2
4시리즈_G22_2024_2025,77,100.0,Black,19.5,48.1,7.8,18.2,,,6.5,,,,
5008_2세대_2018_2019,80,100.0,Black,,88.8,2.5,8.8,,,,,,,
5008_2세대_2021_2024,82,100.0,Black,2.4,70.7,,24.4,2.4,,,,,,
5시리즈_F10_2010_2016,87,100.0,Black,21.8,62.1,3.4,9.2,,,2.3,,1.1,,
5시리즈_G30_2017_2023,87,100.0,Black,12.6,73.6,,13.8,,,,,,,
5시리즈_G60_2024_2025,84,98.8,Black,15.5,60.7,1.2,17.9,2.4,,2.4,,,,
5시리즈_GT_F07_2010_2017,86,100.0,Black,18.6,73.3,1.2,4.7,,,2.3,,,,
6시리즈_F12_2011_2018,86,100.0,Black,20.9,51.2,8.1,16.3,2.3,,1.2,,,,
6시리즈_GT_G32_2018_2020,87,100.0,Black,16.1,67.8,4.6,11.5,,,,,,,
6시리즈_GT_G32_2021_2024,87,100.0,Black,6.9,73.6,4.6,12.6,1.1,,1.1,,,,
