색상명,차량수,이상치제거후,제거방법,평균_RGB,평균_HEX,중앙값_RGB,중앙값_HEX,표준편차_R,표준편차_G,표준편차_B
Black,23065,21905,IQR,"(np.int64(64), np.int64(34), np.int64(64))",#402240,"(np.int64(64), np.int64(34), np.int64(64))",#402240,0.0,5.2,0.0
Silver,4364,4364,IQR,"(np.int64(64), np.int64(173), np.int64(64))",#40ad40,"(np.int64(64), np.int64(174), np.int64(64))",#40ae40,0.0,18.3,0.0
Gray,3022,3022,IQR,"(np.int64(64), np.int64(97), np.int64(64))",#406140,"(np.int64(64), np.int64(91), np.int64(64))",#405b40,0.0,27.6,0.0
White,1536,1422,IQR,"(np.int64(64), np.int64(203), np.int64(64))",#40cb40,"(np.int64(64), np.int64(203), np.int64(64))",#40cb40,0.0,4.7,0.0
Purple,382,381,IQR,"(np.int64(64), np.int64(77), np.int64(64))",#404d40,"(np.int64(64), np.int64(72), np.int64(64))",#404840,0.0,31.6,0.0
Red,326,326,IQR,"(np.int64(64), np.int64(157), np.int64(64))",#409d40,"(np.int64(64), np.int64(159), np.int64(64))",#409f40,0.0,38.1,0.0
Blue,133,133,IQR,"(np.int64(64), np.int64(82), np.int64(64))",#405240,"(np.int64(64), np.int64(79), np.int64(64))",#404f40,0.0,41.7,0.0
Orange,128,128,IQR,"(np.int64(64), np.int64(169), np.int64(64))",#40a940,"(np.int64(64), np.int64(186), np.int64(64))",#40ba40,0.0,46.8,0.0
Yellow,120,116,IQR,"(np.int64(64), np.int64(200), np.int64(64))",#40c840,"(np.int64(64), np.int64(211), np.int64(64))",#40d340,0.0,26.7,0.0
Pink,17,17,IQR,"(np.int64(64), np.int64(106), np.int64(64))",#406a40,"(np.int64(64), np.int64(98), np.int64(64))",#406240,0.0,21.3,0.0
Green,3,3,IQR,"(np.int64(64), np.int64(44), np.int64(64))",#402c40,"(np.int64(64), np.int64(33), np.int64(64))",#402140,0.0,30.1,0.0
