id,predicted_class,predicted_group,expected_group,consistent
TEST_00000,디_올뉴니로_2022_2025,기아,기아,True
TEST_00001,체로키_KL_2019_2023,미국,미국,True
TEST_00002,X5_G05_2024_2025,BMW,BMW,True
TEST_00003,뉴_A6_2015_2018,기타 독일차,기타 독일차,True
TEST_00004,6시리즈_F12_2011_2018,BMW,BMW,True
TEST_00005,S90_2021_2025,유럽 프리미엄,유럽 프리미엄,True
TEST_00006,YF쏘나타_2009_2012,현대,현대,True
TEST_00007,트랙스_2013_2016,미국,미국,True
TEST_00008,베리_뉴_티볼리_2020_2023,기타,기타,True
TEST_00009,뉴_G80_2025_2026,제네시스,제네시스,True
TEST_00010,머스탱_2015_2023,미국,미국,True
TEST_00011,마칸_2019_2021,기타 독일차,기타 독일차,True
TEST_00012,X6_G06_2020_2023,BMW,BMW,True
TEST_00013,XC90_2세대_2020_2025,유럽 프리미엄,유럽 프리미엄,True
TEST_00014,그랜저_IG_2017_2019,현대,현대,True
TEST_00015,프리우스_C_2018_2020,일본/프랑스,일본/프랑스,True
TEST_00016,더_뉴_QM6_2020_2023,일본/프랑스,일본/프랑스,True
TEST_00017,더_뉴_기아_레이_2022_2025,기아,기아,True
TEST_00018,QX60_2016_2018,일본/프랑스,일본/프랑스,True
TEST_00019,트래버스_2020_2023,미국,미국,True
TEST_00020,SM7_뉴아트_2008_2011,일본/프랑스,일본/프랑스,True
TEST_00021,에스컬레이드_2015_2020,미국,미국,True
TEST_00022,쿠퍼_컨트리맨_2016_2024,기타 독일차,기타 독일차,True
TEST_00023,더_뉴_트랙스_2017_2022,미국,미국,True
TEST_00024,7시리즈_G70_2023_2025,BMW,BMW,True
TEST_00025,A6_C8_2019_2025,기타 독일차,기타 독일차,True
TEST_00026,카이엔_PO536_2019_2023,기타 독일차,기타 독일차,True
TEST_00027,M2_F87_2016_2021,BMW,BMW,True
TEST_00028,X5_F15_2014_2018,BMW,BMW,True
TEST_00029,더_뉴_K5_하이브리드_3세대_2023_2025,기아,기아,True
TEST_00030,올_뉴_렉스턴_2021_2025,기타,기타,True
TEST_00031,S90_2021_2025,유럽 프리미엄,유럽 프리미엄,True
TEST_00032,익스플로러_6세대_2020_2025,미국,미국,True
TEST_00033,뷰티풀_코란도_2019_2024,기타,기타,True
TEST_00034,디_올_뉴_니로_2022_2025,기아,기아,True
TEST_00035,아이오닉_하이브리드_2016_2019,현대,현대,True
TEST_00036,C_클래스_W205_2015_2021,벤츠,벤츠,True
TEST_00037,쿠퍼_클럽맨_2016_2024,기타 독일차,기타 독일차,True
TEST_00038,2시리즈_그란쿠페_F44_2020_2024,BMW,BMW,True
TEST_00039,디_올_뉴_니로_2022_2025,기아,기아,True
TEST_00040,아이오닉5_2022_2023,현대,현대,True
TEST_00041,8시리즈_G15_2020_2024,BMW,BMW,True
TEST_00042,스포티지_4세대_2016_2018,기아,기아,True
TEST_00043,에스컬레이드_2015_2020,미국,미국,True
TEST_00044,그랜저_GN7_2023_2025,현대,현대,True
TEST_00045,아반떼_AD_2016_2018,현대,현대,True
TEST_00046,6시리즈_GT_G32_2021_2024,BMW,BMW,True
TEST_00047,마칸_2022_2024,기타 독일차,기타 독일차,True
TEST_00048,더_뉴스포티지R_2014_2016,기아,기아,True
TEST_00049,XM3_2024,일본/프랑스,일본/프랑스,True
TEST_00050,티볼리_아머_2018_2019,기타,기타,True
TEST_00051,디_올뉴니로EV_2023_2024,기아,기아,True
TEST_00052,모델_3_2024_2025,미국,미국,True
TEST_00053,트래버스_2020_2023,미국,미국,True
TEST_00054,뉴_A6_2015_2018,기타 독일차,기타 독일차,True
TEST_00055,K5_하이브리드_3세대_2020_2023,기아,기아,True
TEST_00056,뉴_SM5_플래티넘_2013_2014,일본/프랑스,일본/프랑스,True
TEST_00057,어코드_10세대_2018_2022,일본/프랑스,일본/프랑스,True
TEST_00058,티볼리_에어_2021_2022,기타,기타,True
TEST_00059,프리우스_4세대_2019_2022,일본/프랑스,일본/프랑스,True
TEST_00060,E_클래스_W214_2024_2025,벤츠,벤츠,True
TEST_00061,팰리세이드_2019_2022,현대,현대,True
TEST_00062,i30_PD_2017_2018,현대,현대,True
TEST_00063,G_클래스_W463_2009_2017,벤츠,벤츠,True
TEST_00064,E_클래스_W214_2024_2025,벤츠,벤츠,True
TEST_00065,X4_G02_2019_2021,BMW,BMW,True
TEST_00066,더_뉴_투싼_NX4_2023_2025,현대,현대,True
TEST_00067,EQ900_2016_2018,제네시스,제네시스,True
TEST_00068,A_클래스_W177_2020_2025,벤츠,벤츠,True
TEST_00069,레인지로버_스포츠_2세대_2018_2022,유럽 프리미엄,유럽 프리미엄,True
TEST_00070,컨티넨탈_GT_2세대_2012_2017,유럽 프리미엄,유럽 프리미엄,True
TEST_00071,레인지로버_이보크_2016_2019,유럽 프리미엄,유럽 프리미엄,True
TEST_00072,일렉트리파이드_GV70_2022_2024,제네시스,제네시스,True
TEST_00073,디_올뉴그랜저_2023_2025,현대,현대,True
TEST_00074,올_뉴_모닝_2012_2015,기아,기아,True
TEST_00075,콰트로포르테_2017_2022,유럽 프리미엄,유럽 프리미엄,True
TEST_00076,더_뉴_아이오닉_하이브리드_2020,현대,현대,True
TEST_00077,B_클래스_W246_2013_2018,벤츠,벤츠,True
TEST_00078,더_뉴_K5_하이브리드_3세대_2023_2025,기아,기아,True
TEST_00079,S90_2021_2025,유럽 프리미엄,유럽 프리미엄,True
TEST_00080,벨로스터_JS_2018_2020,현대,현대,True
TEST_00081,RAV4_5세대_2019_2024,일본/프랑스,일본/프랑스,True
TEST_00082,GV80_2024_2025,제네시스,제네시스,True
TEST_00083,UX250h_2019_2024,일본/프랑스,일본/프랑스,True
TEST_00084,더_뉴_모닝_JA_2024_2025,기아,기아,True
TEST_00085,i4_2022_2024,BMW,BMW,True
TEST_00086,1시리즈_F20_2016_2019,BMW,BMW,True
TEST_00087,팰리세이드_2019_2022,현대,현대,True
TEST_00088,A5_F5_2019_2024,기타 독일차,기타 독일차,True
TEST_00089,Q7_4M_2016_2019,기타 독일차,기타 독일차,True
TEST_00090,i30_PD_2017_2018,현대,현대,True
TEST_00091,그랜드카니발_2006_2010,기아,기아,True
TEST_00092,아반떼_N_2022_2023,현대,현대,True
TEST_00093,G80_2017_2020,제네시스,제네시스,True
TEST_00094,뉴_제타_2011_2016,기타 독일차,기타 독일차,True
TEST_00095,New_XF_2012_2015,유럽 프리미엄,유럽 프리미엄,True
TEST_00096,기블리_2014_2023,유럽 프리미엄,유럽 프리미엄,True
TEST_00097,모하비_더_마스터_2020_2024,기아,기아,True
TEST_00098,엑센트_신형_2011_2019,현대,현대,True
TEST_00099,3시리즈_GT_F34_2014_2021,BMW,BMW,True
TEST_00100,레니게이드_2015_2017,미국,미국,True
TEST_00101,AMG_GT_2016_2024,벤츠,벤츠,True
TEST_00102,레니게이드_2019_2023,미국,미국,True
TEST_00103,더_뉴_코란도_스포츠_2016_2018,기타,기타,True
TEST_00104,G90_RS4_2022_2025,제네시스,제네시스,True
TEST_00105,QX60_2016_2018,일본/프랑스,일본/프랑스,True
TEST_00106,더_뉴_파사트_2012_2019,기타 독일차,기타 독일차,True
TEST_00107,B_클래스_W246_2013_2018,벤츠,벤츠,True
TEST_00108,올_뉴_투싼_TL_2016_2018,현대,현대,True
TEST_00109,파일럿_3세대_2016_2018,일본/프랑스,일본/프랑스,True
TEST_00110,X1_U11_2023_2024,BMW,BMW,True
TEST_00111,디_올뉴니로_2022_2025,기아,기아,True
TEST_00112,더_넥스트_스파크_2016_2018,미국,미국,True
TEST_00113,그랜드카니발_2006_2010,벤츠,기아,False
TEST_00114,M2_F87_2016_2021,BMW,BMW,True
TEST_00115,프리우스_4세대_2019_2022,일본/프랑스,일본/프랑스,True
TEST_00116,모하비_더_마스터_2020_2024,기아,기아,True
TEST_00117,르반떼_2017_2022,유럽 프리미엄,유럽 프리미엄,True
TEST_00118,르반떼_2017_2022,유럽 프리미엄,유럽 프리미엄,True
TEST_00119,카니발_4세대_2022_2023,기아,기아,True
TEST_00120,5008_2세대_2021_2024,기타,기타,True
TEST_00121,더_뉴_K3_2016_2018,기아,기아,True
TEST_00122,레인지로버_벨라_2018_2019,유럽 프리미엄,유럽 프리미엄,True
TEST_00123,더_뉴_SM6_2021_2024,일본/프랑스,일본/프랑스,True
TEST_00124,아이오닉5_2022_2023,현대,현대,True
TEST_00125,3시리즈_F30_2013_2018,BMW,BMW,True
TEST_00126,올란도_2012_2018,미국,미국,True
TEST_00127,뉴_카이엔_2011_2018,기타 독일차,기타 독일차,True
TEST_00128,캠리_XV70_2018_2024,일본/프랑스,일본/프랑스,True
TEST_00129,레니게이드_2015_2017,미국,미국,True
TEST_00130,3시리즈_F30_2013_2018,BMW,BMW,True
TEST_00131,더_뉴_아반떼_AD_2019_2020,현대,현대,True
TEST_00132,C_클래스_W205_2015_2021,벤츠,벤츠,True
TEST_00133,G_클래스_W463_2009_2017,벤츠,벤츠,True
TEST_00134,디_올_뉴_니로_2022_2025,기아,기아,True
TEST_00135,7시리즈_F01_2009_2015,BMW,BMW,True
TEST_00136,더_뉴_K3_2016_2018,기아,기아,True
TEST_00137,QX60_2016_2018,일본/프랑스,일본/프랑스,True
TEST_00138,i4_2022_2024,BMW,BMW,True
TEST_00139,그랑_콜레오스_2025,일본/프랑스,일본/프랑스,True
TEST_00140,더_K9_2019_2021,기아,기아,True
TEST_00141,더_뉴_코란도_스포츠_2016_2018,기타,기타,True
TEST_00142,더_뉴_그랜드_스타렉스_2018_2021,현대,현대,True
TEST_00143,V60_크로스컨트리_2세대_2020_2025,유럽 프리미엄,유럽 프리미엄,True
TEST_00144,6시리즈_F12_2011_2018,BMW,BMW,True
TEST_00145,마칸_2022_2024,기타 독일차,기타 독일차,True
TEST_00146,더_뉴_기아_레이_2022_2025,기아,기아,True
TEST_00147,G70_2018_2020,제네시스,제네시스,True
TEST_00148,익스플로러_2018_2019,미국,미국,True
TEST_00149,7시리즈_F01_2009_2015,BMW,BMW,True
TEST_00150,아이오닉6_2023_2025,현대,현대,True
TEST_00151,쿠퍼_컨버터블_2016_2024,기타 독일차,기타 독일차,True
TEST_00152,쏘나타_디_엣지_DN8_2024_2025,현대,현대,True
TEST_00153,Z4_G29_2019_2025,BMW,BMW,True
TEST_00154,G_클래스_W463b_2019_2025,벤츠,벤츠,True
TEST_00155,엑센트_신형_2011_2019,현대,현대,True
TEST_00156,Z4_G29_2019_2025,BMW,BMW,True
TEST_00157,콰트로포르테_2017_2022,유럽 프리미엄,유럽 프리미엄,True
TEST_00158,뉴_ES300h_2016_2018,일본/프랑스,일본/프랑스,True
TEST_00159,스팅어_마이스터_2021_2023,기아,기아,True
TEST_00160,4시리즈_G22_2021_2023,BMW,BMW,True
TEST_00161,마칸_2022_2024,기타 독일차,기타 독일차,True
TEST_00162,X3_G01_2022_2024,BMW,BMW,True
TEST_00163,G70_2018_2020,제네시스,제네시스,True
TEST_00164,4시리즈_G22_2024_2025,BMW,BMW,True
TEST_00165,디스커버리_스포츠_2015_2019,유럽 프리미엄,유럽 프리미엄,True
TEST_00166,아반떼_N_2022_2023,현대,현대,True
TEST_00167,더_뉴_카니발_2019_2020,기아,기아,True
TEST_00168,더_뉴_쏘렌토_2018_2020,기아,기아,True
TEST_00169,CLS_클래스_W218_2012_2017,벤츠,벤츠,True
TEST_00170,트레일블레이저_2023,미국,미국,True
TEST_00171,컨티넨탈_GT_3세대_2018_2023,유럽 프리미엄,유럽 프리미엄,True
TEST_00172,V90_크로스컨트리_2018_2024,유럽 프리미엄,유럽 프리미엄,True
TEST_00173,LF_쏘나타_2015_2017,현대,현대,True
TEST_00174,G_클래스_W463_2009_2017,벤츠,벤츠,True
TEST_00175,더_K9_2019_2021,기아,기아,True
TEST_00176,XC90_2세대_2017_2019,유럽 프리미엄,유럽 프리미엄,True
TEST_00177,뉴_SM5_플래티넘_2013_2014,일본/프랑스,일본/프랑스,True
TEST_00178,박스터_718_2017_2024,기타 독일차,기타 독일차,True
TEST_00179,i4_2022_2024,BMW,BMW,True
TEST_00180,A6_C8_2019_2025,기타 독일차,기타 독일차,True
TEST_00181,V40_2015_2018,유럽 프리미엄,유럽 프리미엄,True
TEST_00182,더_뉴_아반떼_CN7_2023_2025,현대,현대,True
TEST_00183,아이오닉5_2022_2023,현대,현대,True
