original_class,level1_group,level2_brand,level3_size,level4_model
1시리즈_F20_2013_2015,BMW,BMW,소형,1시리즈_F20_2013_2015
1시리즈_F20_2016_2019,BMW,BMW,소형,1시리즈_F20_2016_2019
1시리즈_F40_2020_2024,BMW,BMW,소형,1시리즈_F40_2020_2024
2시리즈_그란쿠페_F44_2020_2024,BMW,BMW,소형,2시리즈_그란쿠페_F44_2020_2024
2시리즈_액티브_투어러_F45_2019_2021,BMW,BMW,소형,2시리즈_액티브_투어러_F45_2019_2021
2시리즈_액티브_투어러_U06_2022_2024,BMW,BMW,소형,2시리즈_액티브_투어러_U06_2022_2024
3시리즈_E90_2005_2012,BMW,BMW,중형,3시리즈_E90_2005_2012
3시리즈_F30_2013_2018,BMW,BMW,중형,3시리즈_F30_2013_2018
3시리즈_G20_2019_2022,BMW,BMW,중형,3시리즈_G20_2019_2022
3시리즈_G20_2023_2025,BMW,BMW,중형,3시리즈_G20_2023_2025
3시리즈_GT_F34_2014_2021,BMW,BMW,중형,3시리즈_GT_F34_2014_2021
4시리즈_F32_2014_2020,BMW,BMW,중형,4시리즈_F32_2014_2020
4시리즈_G22_2021_2023,BMW,BMW,중형,4시리즈_G22_2021_2023
4시리즈_G22_2024_2025,BMW,BMW,중형,4시리즈_G22_2024_2025
i4_2022_2024,BMW,BMW,중형,i4_2022_2024
M2_F87_2016_2021,BMW,BMW,중형,M2_F87_2016_2021
M4_F82_2015_2020,BMW,BMW,중형,M4_F82_2015_2020
X1_F48_2016_2019,BMW,BMW,중형,X1_F48_2016_2019
X1_F48_2020_2022,BMW,BMW,중형,X1_F48_2020_2022
X1_U11_2023_2024,BMW,BMW,중형,X1_U11_2023_2024
X2_F39_2018_2023,BMW,BMW,중형,X2_F39_2018_2023
X3_G01_2018_2021,BMW,BMW,중형,X3_G01_2018_2021
X3_G01_2022_2024,BMW,BMW,중형,X3_G01_2022_2024
X4_F26_2015_2018,BMW,BMW,중형,X4_F26_2015_2018
X4_G02_2019_2021,BMW,BMW,중형,X4_G02_2019_2021
X4_G02_2022_2025,BMW,BMW,중형,X4_G02_2022_2025
Z4_G29_2019_2025,BMW,BMW,중형,Z4_G29_2019_2025
5시리즈_F10_2010_2016,BMW,BMW,대형,5시리즈_F10_2010_2016
5시리즈_G30_2017_2023,BMW,BMW,대형,5시리즈_G30_2017_2023
5시리즈_G60_2024_2025,BMW,BMW,대형,5시리즈_G60_2024_2025
5시리즈_GT_F07_2010_2017,BMW,BMW,대형,5시리즈_GT_F07_2010_2017
6시리즈_F12_2011_2018,BMW,BMW,대형,6시리즈_F12_2011_2018
6시리즈_GT_G32_2018_2020,BMW,BMW,대형,6시리즈_GT_G32_2018_2020
6시리즈_GT_G32_2021_2024,BMW,BMW,대형,6시리즈_GT_G32_2021_2024
7시리즈_F01_2009_2015,BMW,BMW,대형,7시리즈_F01_2009_2015
7시리즈_G11_2016_2018,BMW,BMW,대형,7시리즈_G11_2016_2018
7시리즈_G11_2019_2022,BMW,BMW,대형,7시리즈_G11_2019_2022
7시리즈_G70_2023_2025,BMW,BMW,대형,7시리즈_G70_2023_2025
8시리즈_G15_2020_2024,BMW,BMW,대형,8시리즈_G15_2020_2024
iX_2022_2024,BMW,BMW,대형,iX_2022_2024
M5_F90_2018_2023,BMW,BMW,대형,M5_F90_2018_2023
X5_F15_2014_2018,BMW,BMW,대형,X5_F15_2014_2018
X5_G05_2019_2023,BMW,BMW,대형,X5_G05_2019_2023
X5_G05_2024_2025,BMW,BMW,대형,X5_G05_2024_2025
X6_F16_2015_2019,BMW,BMW,대형,X6_F16_2015_2019
X6_G06_2020_2023,BMW,BMW,대형,X6_G06_2020_2023
X6_G06_2024_2025,BMW,BMW,대형,X6_G06_2024_2025
X7_G07_2019_2022,BMW,BMW,대형,X7_G07_2019_2022
X7_G07_2023_2025,BMW,BMW,대형,X7_G07_2023_2025
718_박스터_2017_2024,기타 독일차,포르쉐,소형,718_박스터_2017_2024
718_카이맨_2017_2024,기타 독일차,포르쉐,소형,718_카이맨_2017_2024
박스터_718_2017_2024,기타 독일차,포르쉐,소형,박스터_718_2017_2024
911_992_2020_2024,기타 독일차,포르쉐,중형,911_992_2020_2024
